# e nb T p mub mus
0.2700000 0.7000000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.7100000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.7200000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.7300000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.7400000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.7500000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.7600000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.7700000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.7800000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.7900000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.8000000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.8100000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.8200000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.8300000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.8400000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.8500000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.8600000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.8700000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.8800000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.8900000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.9000000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.9100000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.9200000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.9300000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.9400000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.9500000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.9600000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.9700000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.9800000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 0.9900000 0.0000000 0.0000000 0.0000000 0.0000000
0.2700000 1.0000000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.0000000 0.1530365 0.0465451 0.0000000 0.0000000
0.2800000 0.0100000 0.1528967 0.0464487 0.0404033 0.0075901
0.2800000 0.0200000 0.1524821 0.0461650 0.0804013 0.0151830
0.2800000 0.0300000 0.1518064 0.0457097 0.1196604 0.0227822
0.2800000 0.0400000 0.1508878 0.0451045 0.1579619 0.0303929
0.2800000 0.0500000 0.1497456 0.0443731 0.1952073 0.0380216
0.2800000 0.0600000 0.1483968 0.0435386 0.2313975 0.0456759
0.2800000 0.0700000 0.1468546 0.0426210 0.2666019 0.0533641
0.2800000 0.0800000 0.1451277 0.0416373 0.3009310 0.0610945
0.2800000 0.0900000 0.1432203 0.0406014 0.3345144 0.0688746
0.2800000 0.1000000 0.1411325 0.0395243 0.3674870 0.0767107
0.2800000 0.1100000 0.1388604 0.0384145 0.3999807 0.0846070
0.2800000 0.1200000 0.1363970 0.0372789 0.4321183 0.0925650
0.2800000 0.1300000 0.1337316 0.0361228 0.4640113 0.1005822
0.2800000 0.1400000 0.1308507 0.0349499 0.4957573 0.1086510
0.2800000 0.1500000 0.1277372 0.0337628 0.5274386 0.1167577
0.2800000 0.1600000 0.1243711 0.0325626 0.5591205 0.1248805
0.2800000 0.1700000 0.1207284 0.0313489 0.5908506 0.1329876
0.2800000 0.1800000 0.1167805 0.0301194 0.6226582 0.1410362
0.2800000 0.1900000 0.1124932 0.0288691 0.6545545 0.1489698
0.2800000 0.2000000 0.1078241 0.0275893 0.6865346 0.1567166
0.2800000 0.2100000 0.1027189 0.0262668 0.7185809 0.1641867
0.2800000 0.2200000 0.0971053 0.0248811 0.7506678 0.1712674
0.2800000 0.2300000 0.0908820 0.0234018 0.7827668 0.1778157
0.2800000 0.2400000 0.0838986 0.0217821 0.8148534 0.1836421
0.2800000 0.2500000 0.0759144 0.0199461 0.8469209 0.1884796
0.2800000 0.2600000 0.0664942 0.0177569 0.8790192 0.1919123
0.2800000 0.2700000 0.0547187 0.0149272 0.9112942 0.1931687
0.2800000 0.2800000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.2900000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.3000000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.3100000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.3200000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.3300000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.3400000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.3500000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.3600000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.3700000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.3800000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.3900000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.4000000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.4100000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.4200000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.4300000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.4400000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.4500000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.4600000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.4700000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.4800000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.4900000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.5000000 0.0000000 0.0000000 0.0000000 0.0000000
0.2800000 0.5100000 0.0000000 0.0000000 0.0000000 0.0000000
